slot_id,vacancy_status
A1,1
A2,1
A3,1
A4,1
A5,1
A6,1
A7,1
A8,1
A9,1
A10,1
A11,1
A12,1
A13,1
A14,1
A15,1
A16,1
A17,1
A18,1
A19,1
A20,1
A21,1
A22,1
A23,1
A24,1
A25,1
A26,1
A27,1
A28,1
A29,1
A30,1
A31,1
A32,1
A33,1
A34,1
A35,1
A36,1
A37,1
A38,1
A39,1
A40,1
B1,1
B2,1
B3,1
B4,1
B5,1
B6,1
B7,1
B8,1
B9,1
B10,1
B11,1
B12,1
B13,1
B14,1
B15,1
B16,1
B17,1
B18,1
B19,1
B20,1
B21,1
B22,1
B23,1
B24,1
B25,1
B26,1
B27,1
B28,1
B29,1
B30,1
B31,1
B32,1
B33,1
B34,1
B35,1
B36,1
B37,1
B38,1
B39,1
B40,1
C1,1
C2,1
C3,1
C4,1
C5,1
C6,1
C7,1
C8,1
C9,1
C10,1
C11,1
C12,1
C13,1
C14,1
C15,1
C16,1
C17,1
C18,1
C19,1
C20,1
C21,1
C22,1
C23,1
C24,1
C25,1
C26,1
C27,1
C28,1
C29,1
C30,1
C31,1
C32,1
C33,1
C34,1
C35,1
C36,1
C37,1
C38,1
C39,1
C40,1
D1,1
D2,1
D3,1
D4,1
D5,1
D6,1
D7,1
D8,1
D9,1
D10,1
D11,1
D12,1
D13,1
D14,1
D15,1
D16,1
D17,1
D18,1
D19,1
D20,1
D21,1
D22,1
D23,1
D24,1
D25,1
D26,1
D27,1
D28,1
D29,1
D30,1
D31,1
D32,1
D33,1
D34,1
D35,1
D36,1
D37,1
D38,1
D39,1
D40,1
E1,1
E2,1
E3,1
E4,1
E5,1
E6,1
E7,1
E8,1
E9,1
E10,1
E11,1
E12,1
E13,1
E14,1
E15,1
E16,1
E17,1
E18,1
E19,1
E20,1
E21,1
E22,1
E23,1
E24,1
E25,1
E26,1
E27,1
E28,1
E29,1
E30,1
E31,1
E32,1
E33,1
E34,1
E35,1
E36,1
E37,1
E38,1
E39,1
E40,1
F1,1
F2,1
F3,1
F4,1
F5,1
F6,1
F7,1
F8,1
F9,1
F10,1
F11,1
F12,1
F13,1
F14,1
F15,1
F16,1
F17,1
F18,1
F19,1
F20,1
F21,1
F22,1
F23,1
F24,1
F25,1
F26,1
F27,1
F28,1
F29,1
F30,1
F31,1
F32,1
F33,1
F34,1
F35,1
F36,1
F37,1
F38,1
F39,1
F40,1
G1,1
G2,1
G3,1
G4,1
G5,1
G6,1
G7,1
G8,1
G9,1
G10,1
G11,1
G12,1
G13,1
G14,1
G15,1
G16,1
G17,1
G18,1
G19,1
G20,1
G21,1
G22,1
G23,1
G24,1
G25,1
G26,1
G27,1
G28,1
G29,1
G30,1
G31,1
G32,1
G33,1
G34,1
G35,1
G36,1
G37,1
G38,1
G39,1
G40,1
H1,1
H2,1
H3,1
H4,1
H5,1
H6,1
H7,1
H8,1
H9,1
H10,1
H11,1
H12,1
H13,1
H14,1
H15,1
H16,1
H17,1
H18,1
H19,1
H20,1
H21,1
H22,1
H23,1
H24,1
H25,1
H26,1
H27,1
H28,1
H29,1
H30,1
H31,1
H32,1
H33,1
H34,1
H35,1
H36,1
H37,1
H38,1
H39,1
H40,1
I1,1
I2,1
I3,1
I4,1
I5,1
I6,1
I7,1
I8,1
I9,1
I10,1
I11,1
I12,1
I13,1
I14,1
I15,1
I16,1
I17,1
I18,1
I19,1
I20,1
I21,1
I22,1
I23,1
I24,1
I25,1
I26,1
I27,1
I28,1
I29,1
I30,1
I31,1
I32,1
I33,1
I34,1
I35,1
I36,1
I37,1
I38,1
I39,1
I40,1
J1,1
J2,1
J3,1
J4,1
J5,1
J6,1
J7,1
J8,1
J9,1
J10,1
J11,1
J12,1
J13,1
J14,1
J15,1
J16,1
J17,1
J18,1
J19,1
J20,1
J21,1
J22,1
J23,1
J24,1
J25,1
J26,1
J27,1
J28,1
J29,1
J30,1
J31,1
J32,1
J33,1
J34,1
J35,1
J36,1
