slot_id,number_plate
A1,GA-06-AA-0001
A2,UA-03-AB-0002
A3,UP-75-AC-0003
A4,DL-5-AD-0004
A5,TN-05-AE-0005
A6,GA-03-AF-0006
A7,BR-53-AG-0007
A8,HR-22-AH-0008
A9,UP-66-AI-0009
A10,AS-15-AJ-0010
A11,JK-13-AK-0011
A12,OD-10-AL-0012
A13,RJ-39-AM-0013
A14,MP-26-AN-0014
A15,HP-16-AO-0015
A16,HR-09-AP-0016
A17,MH-56-AQ-0017
A18,HR-33-AR-0018
A19,MH-55-AS-0019
A20,KL-19-AT-0020
A21,UP-46-AU-0021
A22,HP-17-AV-0022
A23,UP-56-AW-0023
A24,HR-64-AX-0024
A25,HR-52-AY-0025
A26,KL-55-AZ-0026
A27,HP-63-BA-0027
A28,UP-80-BB-0028
A29,MP-66-BC-0029
A30,MH-08-BD-0030
A31,KL-60-BE-0031
A32,HP-38-BF-0032
A33,AR-13-BG-0033
A34,CG-15-BH-0034
A35,HR-49-BI-0035
A36,KL-04-BJ-0036
A37,MH-19-BK-0037
A38,PY-02-BL-0038
A39,KL-64-BM-0039
A40,WB-54-BN-0040
B1,WB-78-BO-0041
B2,TN-76-BP-0042
B3,TN-38-BQ-0043
B4,TN-55-BR-0044
B5,PB-60-BS-0045
B6,OD-19-BT-0046
B7,AP-26-BU-0047
B8,RJ-35-BV-0048
B9,HR-44-BW-0049
B10,HR-86-BX-0050
B11,WB-56-BY-0051
B12,MH-31-BZ-0052
B13,HR-42-CA-0053
B14,UP-92-CB-0054
B15,MH-11-CC-0055
B16,UP-23-CD-0056
B17,JK-10-CE-0057
B18,KL-09-CF-0058
B19,CG-05-CG-0059
B20,CG-17-CH-0060
B21,KL-42-CI-0061
B22,HR-60-CJ-0062
B23,MP-65-CK-0063
B24,KL-08-CL-0064
B25,KA-19-CM-0065
B26,HR-23-CN-0066
B27,UP-40-CO-0067
B28,DL-12-CP-0068
B29,HP-53-CQ-0069
B30,CG-11-CR-0070
B31,DL-1-CS-0071
B32,AS-19-CT-0072
B33,KA-21-CU-0073
B34,MP-08-CV-0074
B35,MH-47-CW-0075
B36,MZ-01-CX-0076
B37,RJ-45-CY-0077
B38,PB-63-CZ-0078
B39,BR-38-DA-0079
B40,TN-34-DB-0080
C1,KL-68-DC-0081
C2,HR-86-DD-0082
C3,KL-47-DE-0083
C4,HR-55-DF-0084
C5,NL-08-DG-0085
C6,HP-12-DH-0086
C7,MH-12-DI-0087
C8,RJ-18-DJ-0088
C9,KL-44-DK-0089
C10,TN-76-DL-0090
C11,PB-38-DM-0091
C12,RJ-44-DN-0092
C13,OD-29-DO-0093
C14,BR-44-DP-0094
C15,JK-22-DQ-0095
C16,HR-54-DR-0096
C17,RJ-46-DS-0097
C18,MP-68-DT-0098
C19,GJ-2-DU-0099
C20,AS-02-DV-0100
C21,HP-50-DW-0101
C22,HP-40-DX-0102
C23,RJ-04-DY-0103
C24,AP-37-DZ-0104
C25,MH-51-EA-0105
C26,MH-27-EB-0106
C27,KL-61-EC-0107
C28,WB-33-ED-0108
C29,DL-8-EE-0109
C30,UP-28-EF-0110
C31,HR-80-EG-0111
C32,PB-19-EH-0112
C33,CG-13-EI-0113
C34,KA-08-EJ-0114
C35,AR-11-EK-0115
C36,UA-09-EL-0116
C37,GJ-20-EM-0117
C38,PB-13-EN-0118
