number_plate,cost
GA-06-AA-0001,87.22
UA-03-AB-0002,355.02
UP-75-AC-0003,428.85
DL-5-AD-0004,281
TN-05-AE-0005,246.15
GA-03-AF-0006,416.67
BR-53-AG-0007,41.11
HR-22-AH-0008,394.84
UP-66-AI-0009,495.81
AS-15-AJ-0010,250.69
JK-13-AK-0011,59.73
OD-10-AL-0012,455.26
RJ-39-AM-0013,238.8
MP-26-AN-0014,171.77
HP-16-AO-0015,383.87
HR-09-AP-0016,378.79
MH-56-AQ-0017,389.26
HR-33-AR-0018,66.22
MH-55-AS-0019,383.88
KL-19-AT-0020,234.69
UP-46-AU-0021,259.44
HP-17-AV-0022,16.74
UP-56-AW-0023,328.51
HR-64-AX-0024,201.64
HR-52-AY-0025,214.78
KL-55-AZ-0026,176.9
HP-63-BA-0027,405.34
UP-80-BB-0028,55.71
MP-66-BC-0029,313.52
MH-08-BD-0030,405.26
KL-60-BE-0031,147.74
HP-38-BF-0032,486.69
AR-13-BG-0033,444.76
CG-15-BH-0034,433.21
HR-49-BI-0035,55.08
KL-04-BJ-0036,490.79
MH-19-BK-0037,345.41
PY-02-BL-0038,249.4
KL-64-BM-0039,12.86
WB-54-BN-0040,18.63
WB-78-BO-0041,38.61
TN-76-BP-0042,396.61
TN-38-BQ-0043,148.21
TN-55-BR-0044,487.83
PB-60-BS-0045,236.69
OD-19-BT-0046,170.31
AP-26-BU-0047,472.6
RJ-35-BV-0048,439.46
HR-44-BW-0049,187.14
HR-86-BX-0050,307.85
WB-56-BY-0051,495.62
MH-31-BZ-0052,301.86
HR-42-CA-0053,305.95
UP-92-CB-0054,61.01
MH-11-CC-0055,14.77
UP-23-CD-0056,147.44
JK-10-CE-0057,23.3
KL-09-CF-0058,317.27
CG-05-CG-0059,24.01
CG-17-CH-0060,18.1
KL-42-CI-0061,67.6
HR-60-CJ-0062,65.43
MP-65-CK-0063,435.45
KL-08-CL-0064,31.98
KA-19-CM-0065,369.05
HR-23-CN-0066,58.24
UP-40-CO-0067,223.55
DL-12-CP-0068,77.77
HP-53-CQ-0069,176.63
CG-11-CR-0070,334.22
DL-1-CS-0071,60.78
AS-19-CT-0072,74.84
KA-21-CU-0073,451.03
MP-08-CV-0074,411.01
MH-47-CW-0075,226.76
MZ-01-CX-0076,428.78
RJ-45-CY-0077,277.7
PB-63-CZ-0078,89.32
BR-38-DA-0079,362.41
TN-34-DB-0080,160.67
KL-68-DC-0081,368.85
HR-86-DD-0082,27.28
KL-47-DE-0083,372.85
HR-55-DF-0084,109.48
NL-08-DG-0085,448.25
HP-12-DH-0086,441.86
MH-12-DI-0087,315.97
RJ-18-DJ-0088,109.65
KL-44-DK-0089,340.46
TN-76-DL-0090,50.93
PB-38-DM-0091,405.72
RJ-44-DN-0092,144.97
OD-29-DO-0093,359.34
BR-44-DP-0094,47.18
JK-22-DQ-0095,42.72
HR-54-DR-0096,93.72
RJ-46-DS-0097,475.36
MP-68-DT-0098,308.25
GJ-2-DU-0099,276.89
AS-02-DV-0100,498.6
HP-50-DW-0101,57.65
HP-40-DX-0102,384.39
RJ-04-DY-0103,352.09
AP-37-DZ-0104,267.54
MH-51-EA-0105,182.46
MH-27-EB-0106,252.94
KL-61-EC-0107,268.76
WB-33-ED-0108,347.91
DL-8-EE-0109,430.59
UP-28-EF-0110,121.7
HR-80-EG-0111,40.66
PB-19-EH-0112,16.88
CG-13-EI-0113,88.5
KA-08-EJ-0114,371.28
AR-11-EK-0115,58.12
UA-09-EL-0116,151.1
GJ-20-EM-0117,168.43
PB-13-EN-0118,420.96
NL-04-EO-0119,153.15
ML-09-EP-0120,194.87
JH-22-EQ-0121,17.2
UP-22-ER-0122,406.49
HR-65-ES-0123,192.88
HP-47-ET-0124,139.8
JK-20-EU-0125,362.35
